route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.3.1,1.3.H2344,1.3.10412752,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412754,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412760,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412762,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412766,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412768,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2335,1.3.10412852,"Zona Universitària",1,1.3.300.2,1
1.2.1,1.2.H2137,1.2.10411682,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411684,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411700,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411702,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411704,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.3.1,1.3.H2344,1.3.10412595,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412597,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412601,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412603,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412609,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H2344,1.3.10412622,"Zona Universitària",1,1.3.300.2,1
1.2.1,1.2.H2076,1.2.10411402,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2076,1.2.10411403,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411405,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411407,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411409,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411411,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411412,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2076,1.2.10411414,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2076,1.2.10411416,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2076,1.2.10411418,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2076,1.2.10411420,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2076,1.2.10411421,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411423,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411425,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411427,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411430,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411432,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2137,1.2.10411756,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411758,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411760,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411762,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411764,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411774,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411776,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411788,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411795,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411797,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411799,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411801,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411803,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411813,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411815,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2137,1.2.10411817,"Badalona Pompeu Fabra",0,1.2.200.1,1
1.2.1,1.2.H2076,1.2.10411434,"Paral·lel",1,1.2.200.2,1
1.2.1,1.2.H2076,1.2.10411436,"Paral·lel",1,1.2.200.2,1
